,,"????????????12????????? [Percentage of EPU articles that discuss specific policy matters, 12-month centered moving average]",,,,,
?,?,????,????,????,????,,
Year,Month,Fiscal Policy,Monetary Policy,Trade Policy,Exchange Rate Policy,,
1993,9,65.72230351,18.81779137,14.54517095,2.779911944,,
1993,10,65.79785482,18.06388675,15.27092424,2.329254016,,
1993,11,66.19943523,17.93216839,15.57087787,1.985788265,,
1993,12,66.46346238,18.38825787,15.10637016,2.716475141,,
1994,1,66.49423501,18.26071921,14.22460179,3.582401156,,
1994,2,65.8470887,17.71858686,13.48138201,3.515437628,,
1994,3,65.22473106,17.05566677,13.04421667,3.203455858,,
1994,4,64.38903985,16.85711158,12.73265784,3.336962498,,
1994,5,62.99522954,17.1768975,12.39315905,3.600669837,,
1994,6,61.75000842,17.38162401,12.06570543,3.68972888,,
1994,7,60.79307358,17.74467951,12.302766,3.737965828,,
1994,8,59.46950601,18.80257178,12.53019678,3.906326632,,
1994,9,58.41816748,20.80474332,11.92827045,4.474311889,,
1994,10,57.52408741,23.13204778,11.01012387,5.265060877,,
1994,11,56.27090905,24.44180649,10.39567297,5.362543472,,
1994,12,55.85506674,24.50392837,10.43140534,4.467612759,,
1995,1,56.07560807,24.84963821,10.73627922,3.747548622,,
1995,2,56.1055345,25.94628365,10.71072135,4.246657651,,
1995,3,56.05901688,27.59417474,10.50777399,5.180958478,,
1995,4,56.07517952,28.93184918,10.30455612,5.608765658,,
1995,5,55.98023846,29.39373486,9.877187895,5.541277386,,
1995,6,56.05876757,29.7662709,9.141338593,5.465288254,,
1995,7,56.77557045,30.09649857,8.229475266,5.428913608,,
1995,8,57.90048918,29.73999059,7.673485017,5.249867664,,
1995,9,58.9975635,28.4401762,7.638626708,4.666410962,,
1995,10,60.0899754,26.58014737,7.854767153,3.86637958,,
1995,11,61.01926068,25.43600561,7.682276662,3.514879355,,
1995,12,61.2421839,25.23054401,7.196424983,3.401094739,,
1996,1,61.35452631,24.96910266,6.891466058,3.10852403,,
1996,2,62.06967508,24.48632299,6.794435636,2.356689666,,
1996,3,62.91047876,23.51364692,6.894155343,1.439059783,,
1996,4,64.18207505,22.28488555,6.807874673,0.874917196,,
1996,5,65.70779727,22.07979257,6.825236793,0.744788133,,
1996,6,66.84585598,21.76761317,7.110605103,0.820522272,,
1996,7,67.61285541,20.98746065,7.148984331,0.850706464,,
1996,8,67.26556778,20.58096822,7.041433694,1.115041768,,
1996,9,66.81580115,20.2494776,6.849881788,1.325522755,,
1996,10,67.20773852,20.44696764,6.647236755,1.292362724,,
1996,11,67.46193526,20.7420937,6.575655685,1.349105161,,
1996,12,67.83618983,20.34085116,6.5745811,1.441103941,,
1997,1,67.86973728,19.67154239,6.620981256,1.684482851,,
1997,2,67.99606897,18.97660119,6.524970184,1.878906879,,
1997,3,68.21378984,18.44218694,6.489590057,1.932330327,,
1997,4,67.81409107,18.51128126,6.493977363,2.013274788,,
1997,5,67.46674633,18.72780033,6.053460321,1.995761018,,
1997,6,67.12653415,19.15117886,5.51334463,2.0367259,,
1997,7,66.87567469,19.33608612,5.253461881,2.177700738,,
1997,8,66.95089877,18.99552057,5.002611036,2.01134229,,
1997,9,66.72788762,19.289178,4.810947664,1.801305137,,
1997,10,66.47415324,19.55195575,4.598765689,1.879218827,,
1997,11,66.7295256,19.39664181,4.383221209,1.910807699,,
1997,12,66.68736624,19.62824341,4.091365559,2.607875924,,
1998,1,67.35280425,19.801542,3.655704805,3.223382634,,
1998,2,67.61719693,19.87024146,3.382523576,3.275441167,,
1998,3,66.52791636,20.17016559,2.963033952,3.380774786,,
1998,4,65.38882252,20.55412577,2.539099491,3.331991888,,
1998,5,65.00295678,20.26206616,2.360614992,3.283143194,,
1998,6,65.23017018,19.74209808,2.282367918,3.139180493,,
1998,7,65.04978169,19.79433321,2.385769558,3.05078691,,
1998,8,65.10092553,20.61006559,2.603559843,3.075062679,,
1998,9,65.09399531,21.19891569,2.829213051,3.074312348,,
1998,10,64.36826738,21.19499833,3.103661153,2.949876919,,
1998,11,63.72678409,21.34326781,3.534013098,2.787391287,,
1998,12,63.89418879,21.31208213,3.939514353,2.04141494,,
1999,1,63.51862168,21.62158118,4.33308553,1.367295232,,
1999,2,62.91594007,21.84997273,4.581098247,1.407331124,,
1999,3,63.64696919,21.86875104,4.748952172,2.085896374,,
